SRR1178359	SRR1178365	SRR1178366	SRR1178367	SRR1178368	SRR1178369	SRR1178370	SRR1178360	SRR1178371	SRR1178372	SRR1178361	SRR1178362	SRR1178363	SRR1178364
ASV.1	54	789	3444	1278	1248	0	0	0	0	2606	0	0	0	0
ASV.2	0	458	0	28	0	0	820	0	2743	0	0	2692	0	0
ASV.3	0	0	0	0	2242	0	0	0	0	0	0	0	0	0
ASV.4	0	0	0	0	0	0	0	1566	0	0	0	0	0	0
ASV.5	0	0	0	0	1271	0	0	0	0	0	0	0	0	0
ASV.6	0	0	922	0	0	0	0	0	0	0	0	0	0	0
ASV.7	0	0	0	0	568	0	0	0	0	0	0	0	0	0
ASV.8	0	0	0	0	0	0	0	0	0	329	0	0	0	0
ASV.9	0	0	176	0	0	0	0	0	0	0	0	0	0	0
ASV.10	0	0	0	0	0	0	0	0	152	0	0	0	0	0
ASV.11	0	0	0	0	0	0	0	0	0	0	0	146	0	0
ASV.12	0	0	0	0	0	0	0	0	0	143	0	0	0	0
ASV.13	0	0	0	0	0	0	0	85	0	0	0	0	0	0
ASV.14	71	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.17	0	0	0	0	0	0	0	31	0	0	0	0	0	0
ASV.18	0	0	0	0	0	0	0	0	27	0	0	0	0	0
ASV.19	0	0	0	0	25	0	0	0	0	0	0	0	0	0
ASV.20	0	0	0	0	0	0	0	22	0	0	0	0	0	0
ASV.21	0	0	20	0	0	0	0	0	0	0	0	0	0	0
ASV.22	0	0	20	0	0	0	0	0	0	0	0	0	0	0
ASV.23	0	0	0	0	0	0	0	0	20	0	0	0	0	0
ASV.24	18	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.25	0	0	0	18	0	0	0	0	0	0	0	0	0	0
ASV.26	0	0	0	0	15	0	0	0	0	0	0	0	0	0
ASV.27	0	0	0	0	0	0	0	15	0	0	0	0	0	0
ASV.28	0	0	0	0	0	0	14	0	0	0	0	0	0	0
ASV.29	0	0	0	0	0	0	2	12	0	0	0	0	0	0
ASV.30	0	0	0	0	0	0	0	12	0	0	0	0	0	0
ASV.31	0	0	0	0	0	0	0	11	0	0	0	0	0	0
ASV.32	0	0	8	0	0	0	0	0	0	0	0	0	0	0
ASV.33	0	0	0	0	0	0	0	0	0	8	0	0	0	0
ASV.34	0	0	0	0	0	0	7	0	0	0	0	0	0	0
ASV.35	0	0	0	0	0	0	0	0	0	0	0	7	0	0
ASV.36	0	0	0	0	0	0	4	0	0	0	0	0	0	0
