SRR9675236	SRR9675237	SRR9675238	SRR9675239	SRR9675240	SRR9675241
ASV.1	12135	0	0	84	14613	33839
ASV.2	0	14860	23112	12105	6088	124
ASV.3	0	0	11961	761	641	0
ASV.4	0	7654	0	0	0	0
ASV.5	0	6617	0	0	0	0
ASV.6	195	0	0	11	4210	514
ASV.7	3988	0	0	433	300	0
ASV.8	363	0	0	2986	456	0
ASV.9	0	3081	0	0	0	0
ASV.10	70	2093	38	38	267	37
ASV.11	2002	0	0	18	401	0
ASV.12	0	0	2092	0	233	0
ASV.13	1720	0	0	41	262	0
ASV.14	6	1772	0	9	41	0
ASV.15	0	0	0	926	686	0
ASV.16	1293	0	0	0	170	0
ASV.18	0	0	0	1082	0	0
ASV.19	651	0	0	0	237	0
ASV.20	0	0	0	537	305	0
ASV.22	0	0	0	481	295	0
ASV.23	0	0	0	0	721	0
ASV.24	0	0	0	436	234	0
ASV.25	2	0	0	640	10	0
ASV.26	0	0	0	402	234	0
ASV.33	0	449	0	0	0	0
ASV.34	0	0	0	447	0	0
ASV.36	0	0	0	404	0	0
ASV.47	0	297	0	0	0	0
ASV.50	0	0	264	0	0	0
ASV.55	0	0	0	243	0	0
ASV.64	0	0	0	209	0	0
ASV.66	0	0	204	0	0	0
ASV.67	0	0	0	204	0	0
ASV.74	0	188	0	0	0	0
ASV.75	0	0	188	0	0	0
ASV.78	0	172	0	0	0	0
ASV.81	0	0	0	162	0	0
ASV.85	113	0	0	0	24	15
ASV.89	139	0	0	0	0	0
ASV.92	0	0	0	134	0	0
ASV.93	0	108	0	0	17	8
ASV.95	8	96	0	5	20	0
ASV.96	0	129	0	0	0	0
ASV.97	0	0	128	0	0	0
ASV.99	6	108	0	0	10	0
ASV.100	101	0	0	0	16	0
ASV.103	0	0	111	0	0	0
ASV.104	0	91	4	0	14	0
ASV.110	0	0	11	91	0	0
ASV.115	16	49	0	0	19	11
ASV.117	0	0	20	74	0	0
ASV.123	85	0	0	0	0	0
ASV.124	0	0	85	0	0	0
ASV.125	0	0	0	0	84	0
ASV.128	69	0	0	0	11	0
ASV.132	0	0	0	77	0	0
ASV.133	0	0	0	68	9	0
ASV.139	0	0	0	0	73	0
ASV.145	2	0	0	0	62	5
ASV.147	53	0	0	0	15	0
ASV.154	0	0	62	0	0	0
ASV.164	0	0	0	0	59	0
ASV.168	0	57	0	0	0	0
ASV.172	0	0	0	0	55	0
ASV.174	54	0	0	0	0	0
ASV.175	45	0	0	0	8	0
ASV.186	6	0	0	0	41	0
ASV.190	0	0	0	45	0	0
ASV.203	0	38	0	0	0	0
ASV.207	0	0	0	0	37	0
ASV.210	4	0	0	0	32	0
ASV.213	0	5	28	3	0	0
ASV.217	0	35	0	0	0	0
ASV.218	0	0	0	35	0	0
ASV.219	0	0	0	0	35	0
ASV.221	0	34	0	0	0	0
ASV.224	0	0	0	34	0	0
ASV.225	0	33	0	0	0	0
ASV.227	0	0	0	0	33	0
ASV.229	0	32	0	0	0	0
ASV.233	0	0	0	0	31	0
ASV.235	0	0	29	0	0	0
ASV.236	0	0	0	0	29	0
ASV.241	0	0	0	0	28	0
ASV.247	0	0	0	26	0	0
ASV.252	0	19	0	0	5	0
ASV.254	0	0	0	0	24	0
ASV.255	0	0	0	0	24	0
ASV.259	0	0	15	7	0	0
ASV.260	0	0	0	22	0	0
ASV.266	20	0	0	0	0	0
ASV.267	0	20	0	0	0	0
ASV.274	0	0	0	0	19	0
ASV.275	0	0	0	0	19	0
ASV.276	0	0	0	0	19	0
ASV.282	3	0	0	0	14	0
ASV.288	0	16	0	0	0	0
ASV.291	0	0	0	0	16	0
ASV.295	0	15	0	0	0	0
ASV.296	0	0	15	0	0	0
ASV.298	0	0	0	0	15	0
ASV.300	0	0	0	0	15	0
ASV.307	0	0	0	0	14	0
ASV.309	0	0	0	0	14	0
ASV.313	0	13	0	0	0	0
ASV.317	0	0	0	0	13	0
ASV.319	0	12	0	0	0	0
ASV.323	0	0	0	0	12	0
ASV.326	0	11	0	0	0	0
ASV.327	0	0	0	0	11	0
ASV.328	0	0	0	0	11	0
ASV.329	3	0	0	0	7	0
ASV.331	10	0	0	0	0	0
ASV.332	0	0	10	0	0	0
ASV.335	0	0	0	0	10	0
ASV.337	0	0	0	0	10	0
ASV.341	0	0	9	0	0	0
ASV.347	0	8	0	0	0	0
ASV.352	0	7	0	0	0	0
ASV.354	0	0	0	7	0	0
ASV.357	0	0	0	0	7	0
ASV.358	0	0	0	0	7	0
ASV.359	0	0	0	0	7	0
ASV.361	0	0	0	0	7	0
ASV.366	0	6	0	0	0	0
ASV.367	0	6	0	0	0	0
ASV.368	0	6	0	0	0	0
ASV.369	0	0	6	0	0	0
ASV.370	0	0	6	0	0	0
ASV.371	0	0	6	0	0	0
ASV.375	0	0	0	6	0	0
ASV.376	0	0	0	0	6	0
ASV.377	0	0	0	0	6	0
ASV.379	0	0	0	0	6	0
ASV.381	0	0	0	0	6	0
ASV.382	0	0	0	0	6	0
ASV.384	0	0	0	0	6	0
ASV.385	0	0	0	0	6	0
ASV.390	0	5	0	0	0	0
ASV.391	0	3	0	0	2	0
ASV.392	0	0	5	0	0	0
ASV.393	0	0	5	0	0	0
ASV.395	0	0	5	0	0	0
ASV.396	0	0	0	5	0	0
ASV.399	0	0	0	0	5	0
ASV.400	0	0	0	0	5	0
ASV.401	0	0	0	0	5	0
ASV.402	0	0	0	0	5	0
ASV.403	0	0	0	0	5	0
ASV.408	0	0	0	0	5	0
ASV.409	0	0	0	0	5	0
ASV.410	0	0	0	0	5	0
ASV.412	0	0	0	0	5	0
ASV.413	0	0	0	0	5	0
ASV.417	0	4	0	0	0	0
ASV.418	0	4	0	0	0	0
ASV.420	0	0	0	4	0	0
ASV.424	0	0	0	0	4	0
ASV.425	0	0	0	0	4	0
ASV.426	0	0	0	0	4	0
ASV.427	0	0	0	0	4	0
ASV.429	0	0	0	0	4	0
ASV.430	0	0	0	0	4	0
ASV.432	0	0	0	0	4	0
ASV.435	0	3	0	0	0	0
ASV.436	0	3	0	0	0	0
ASV.437	0	3	0	0	0	0
ASV.439	0	3	0	0	0	0
ASV.441	0	0	3	0	0	0
ASV.447	0	0	0	0	3	0
ASV.450	0	0	0	0	3	0
ASV.451	0	0	0	0	3	0
ASV.452	0	0	0	0	3	0
ASV.454	0	0	0	0	3	0
ASV.455	0	0	0	0	3	0
ASV.456	0	0	0	0	3	0
ASV.457	0	0	0	0	3	0
ASV.458	0	0	0	0	3	0
ASV.459	0	0	0	0	3	0
ASV.460	0	0	0	0	3	0
ASV.461	0	0	0	0	3	0
ASV.462	0	0	0	0	3	0
ASV.463	0	0	0	0	3	0
ASV.464	0	0	0	0	3	0
ASV.465	0	0	0	0	3	0
ASV.466	0	0	0	0	3	0
ASV.467	0	0	0	0	3	0
ASV.468	0	0	0	0	3	0
ASV.470	0	0	0	0	3	0
ASV.471	0	0	0	0	3	0
ASV.472	0	0	0	0	3	0
ASV.473	0	0	0	0	3	0
ASV.475	0	0	0	0	3	0
ASV.476	0	0	0	0	3	0
ASV.478	0	0	0	0	3	0
ASV.480	2	0	0	0	0	0
ASV.483	0	2	0	0	0	0
ASV.484	0	0	2	0	0	0
ASV.489	0	0	0	2	0	0
ASV.496	0	0	0	2	0	0
ASV.497	0	0	0	0	2	0
ASV.498	0	0	0	0	2	0
ASV.500	0	0	0	0	2	0
ASV.501	0	0	0	0	2	0
ASV.502	0	0	0	0	2	0
ASV.503	0	0	0	0	2	0
ASV.504	0	0	0	0	2	0
ASV.505	0	0	0	0	2	0
ASV.506	0	0	0	0	2	0
ASV.507	0	0	0	0	2	0
ASV.508	0	0	0	0	2	0
ASV.509	0	0	0	0	2	0
ASV.510	0	0	0	0	2	0
ASV.511	0	0	0	0	2	0
ASV.512	0	0	0	0	2	0
ASV.513	0	0	0	0	2	0
ASV.514	0	0	0	0	2	0
ASV.515	0	0	0	0	2	0
ASV.516	0	0	0	0	2	0
ASV.517	0	0	0	0	2	0
ASV.518	0	0	0	0	2	0
ASV.519	0	0	0	0	2	0
ASV.523	0	0	0	0	2	0
ASV.524	0	0	0	0	2	0
ASV.525	0	0	0	0	2	0
ASV.526	0	0	0	0	2	0
ASV.527	0	0	0	0	2	0
ASV.528	0	0	0	0	2	0
ASV.529	0	0	0	0	2	0
ASV.530	0	0	0	0	2	0
ASV.531	0	0	0	0	2	0
ASV.532	0	0	0	0	2	0
ASV.533	0	0	0	0	2	0
ASV.534	0	0	0	0	2	0
ASV.535	0	0	0	0	2	0
ASV.536	0	0	0	0	2	0
ASV.537	0	0	0	0	2	0
ASV.541	0	0	0	0	2	0
ASV.564	0	0	0	0	1	0
ASV.565	0	0	0	0	1	0
