SAMPLEID,coastal.200km
SRR1178342_transcriptomic,FALSE
SRR1178343_transcriptomic,FALSE
SRR1178345,TRUE
SRR1178346,TRUE
SRR1178347,TRUE
SRR1178348,TRUE
SRR1178349,TRUE
SRR1178351,TRUE
SRR1178352,TRUE
SRR1178353,TRUE
SRR1178354,TRUE
SRR1178355,TRUE
SRR1178356,TRUE
SRR1178357,TRUE
SRR1178358,TRUE
SRR1178360_transcriptomic,TRUE
SRR1178362_transcriptomic,TRUE
SRR1178365_transcriptomic,TRUE
SRR1178366_transcriptomic,TRUE
SRR1178367_transcriptomic,TRUE
SRR1178368_transcriptomic,TRUE
SRR1178370_transcriptomic,TRUE
SRR1178371_transcriptomic,TRUE
SRR1178372_transcriptomic,TRUE
SRR1178373,FALSE
SRR1178374,FALSE
SRR1178375,FALSE
SRR1178378,FALSE
SRR1178380_transcriptomic,FALSE
SRR1178384_transcriptomic,FALSE
SRR1178385_transcriptomic,FALSE
SRR1178386_transcriptomic,TRUE
SRR1178395,FALSE
SRR1178399,FALSE
